timestamp,headline,label,confidence,positivity_score
Jun-16-25 07:32PM,"Apple (AAPL) Gets $235 Price Target from Morgan Stanley After China iPhone Demand Surprises


(Insider Monkey)",negative,0.9742,0.0008
07:18PM,"Investing Playbook for H2 2025: Quality, AI, and Gold


(Zacks)",negative,1.0,0.0
06:18PM,"New Buffett-Inspired ETF Holds Berkshire and Apple. It Aims for 15% Yield.


(Barrons.com)",negative,0.9999,0.0
04:43PM,"Life360 Stock Rises On Upbeat Report For Family Tracker Service


(Investor's Business Daily)",neutral,1.0,0.0
04:30PM,"Herbal Medicine Stock With No Sales Rallies 64,000%


(Bloomberg)",negative,1.0,0.0
04:27PM,"Event Risk Rattles the Rally as Middle East Tensions Rise


(Investopedia)",positive,0.9906,0.9906
04:15PM,"TikTok will go dark June 19 unless Trump gives it another lifeline


(Yahoo Finance)",negative,1.0,0.0
04:14PM,"UBS Sees iPhone Demand Pull-Forward, Outlook Softens


(GuruFocus.com)",positive,0.9948,0.9948
04:10PM,"Alibaba and Apple Partner on On-Device AI in China


(GuruFocus.com)",negative,1.0,0.0
03:46PM,"Big Tech ETF posts sharp rally to outperform S&P 500


(MarketWatch)",neutral,1.0,0.0
03:13PM,"Dutch Court Upholds Ruling That Apple Abused App Store Power in Dating App Dispute


(GuruFocus.com)",positive,0.9999,0.9999
03:08PM,"Apple Sees iPhone Sales Jump--but UBS Says It Won't Last


(GuruFocus.com)",neutral,1.0,0.0
01:55PM,"Trumps Smartphone Cant Be Made in America for $499 by August


(The Wall Street Journal)",negative,1.0,0.0
12:06PM,"Stocks Rise on Reports Iran Wants to Restart Talks: Markets Wrap


(Bloomberg)",negative,0.9998,0.0001
10:36AM,"Alibaba launches new Qwen3 AI models for Apple's MLX architecture


(Reuters)",negative,0.9993,0.0001
10:32AM,"Dutch court confirms Apple abused dominant position in dating apps


(Reuters)",positive,1.0,1.0
10:10AM,"Apple Faces EU Ultimatum Over App-Store Rules


(GuruFocus.com)",positive,0.981,0.981
09:41AM,"Meta Investors Cheer as Zuckerberg Doubles Down on AI Commitment


(Bloomberg)",negative,0.968,0.0286
09:40AM,"Why reviving U.S. tech manufacturing is harder than you think


(Fortune)",positive,1.0,1.0
09:11AM,"Trump Organization Plans Smartphone, Wireless Plan


(Barrons.com)",negative,1.0,0.0
09:00AM,"Samsungs big plan to compete with the Apple Watch: keeping you healthy as you age


(CNN Business)",negative,0.9537,0.0027
08:44AM,"The Trump family's next venture, a mobile phone company


(Associated Press Finance)",negative,1.0,0.0
08:30AM,"The Best Warren Buffett Stocks to Buy With $1,000 Right Now


(Motley Fool)",negative,0.6711,0.0005
08:15AM,"Streetwise: Time to Look Again at Investing in Europe?


(The Wall Street Journal)",negative,1.0,0.0
07:42AM,"TSMC Rises. Why U.S., China Tensions Are Reshaping the Chip Manufacturer.


(Barrons.com)",negative,0.9457,0.0037
06:20AM,"Should Vanguard Russell 1000 Growth ETF (VONG) Be on Your Investing Radar?


(Zacks)",negative,0.9998,0.0002
06:20AM,"Is iShares Core S&P U.S. Value ETF (IUSV) a Strong ETF Right Now?


(Zacks)",neutral,1.0,0.0
05:30AM,"Big Techs Furious Rally Forces Options Pros to Line Up Hedges


(Bloomberg)",negative,0.5407,0.4447
04:00AM,"Why RCS is gaining traction among business and consumers alike


(CX Dive)",neutral,1.0,0.0
03:45AM,"My Top 5 AI Stocks to Buy Before the Second Half


(Motley Fool)",negative,0.9121,0.0094
03:27AM,"Adnoc Makes $19 Billion Takeover Bid for Australias Santos


(Bloomberg)",negative,0.9999,0.0
Jun-15-25 04:00PM,"Australians Equally Distrust Both Trump and Xi, Survey Finds


(Bloomberg)",negative,0.9999,0.0001
06:45AM,"AI Beyond Data Centers: 3 Stocks Poised to Dominate AI's Next Big Move


(Motley Fool)",neutral,1.0,0.0
05:49AM,"Warren Buffett Has $90 Billion Invested in These 9 Artificial Intelligence (AI) Stocks. Here's the Best of the Bunch.


(Motley Fool)",negative,0.9949,0.0
05:45AM,"3 Reasons Why This Beaten-Down Growth Stock Could Trounce the S&P 500 in the Second Half of 2025


(Motley Fool)",negative,0.7217,0.2511
05:33AM,"Here's How Many Shares of Apple Stock You Should Own to Get $1,000 in Yearly Dividends


(Motley Fool)",negative,1.0,0.0
05:23AM,"Jim Cramer on Apple: ""Call Me Sanguine About Apple""


(Insider Monkey)",negative,0.9995,0.0005
05:22AM,"Jim Cramer on Apple: ""We Like Apple""


(Insider Monkey)",negative,0.9696,0.0005
Jun-14-25 01:08PM,"Week in Review: WWDC 2025 recap


(TechCrunch)",negative,1.0,0.0
